iter	Logloss
0	0.6818237828
1	0.6699826221
2	0.6609661916
3	0.6511644627
4	0.641074155
5	0.6324198228
6	0.6237934764
7	0.6148729263
8	0.6070360279
9	0.5995635405
10	0.5918517063
11	0.5853639469
12	0.5786023706
13	0.5722035425
14	0.5663344759
15	0.5595096748
16	0.5535537072
17	0.5479294578
18	0.5424147725
19	0.537341783
20	0.5333278176
21	0.5289029214
22	0.5243520496
23	0.5198261988
24	0.5155546919
25	0.5111297443
26	0.5063603516
27	0.5020668746
28	0.4977431723
29	0.4937403372
30	0.4898747402
31	0.4864583195
32	0.4831882315
33	0.4798182957
34	0.4773150093
35	0.4744604839
36	0.4718298506
37	0.469653174
38	0.4672539537
39	0.4647112377
40	0.4622297145
41	0.46007402
42	0.4578776252
43	0.4560863075
44	0.4539052304
45	0.4520158209
46	0.4506312869
47	0.448904573
48	0.4476877986
49	0.4460493631
50	0.44442557
51	0.4429916956
52	0.4413864697
53	0.4401568266
54	0.438912945
55	0.4379278686
56	0.4365622234
57	0.43520162
58	0.4339639845
59	0.4326804762
60	0.4313987163
61	0.4302748161
62	0.4291930508
63	0.4282568545
64	0.4273141862
65	0.4266383281
66	0.4256490381
67	0.4246646353
68	0.4236674423
69	0.422746632
70	0.4219996712
71	0.4212216555
72	0.4205193403
73	0.4197069419
74	0.4189322955
75	0.4182837482
76	0.4177586101
77	0.4170939465
78	0.4162777317
79	0.4160034705
80	0.4156840751
81	0.4151946827
82	0.4146321947
83	0.4141232137
84	0.4134559187
85	0.4128974647
86	0.4123687469
87	0.4118867104
88	0.411511219
89	0.4111680204
90	0.4106674258
91	0.4101719379
92	0.4097550035
93	0.4095029333
94	0.4089876533
95	0.4085520184
96	0.4080456221
97	0.4075757778
98	0.407231042
99	0.4067103324
100	0.4062047338
101	0.406063158
102	0.4055771592
103	0.4051741259
104	0.4048638721
105	0.4045629956
106	0.404168982
107	0.4035914157
108	0.4033655871
109	0.4028991004
110	0.4026291931
111	0.402547397
112	0.4021148988
113	0.4018646891
114	0.4015940371
115	0.4011564333
116	0.4008750531
117	0.4006381465
118	0.4004439396
119	0.4003044335
120	0.4000870288
121	0.3998547092
122	0.3997026584
123	0.3992753104
124	0.3990010925
125	0.3989419423
126	0.3984196747
127	0.3983174053
128	0.398015134
129	0.3978024498
130	0.397440773
131	0.3972825212
132	0.3970965761
133	0.3968690979
134	0.3965280536
135	0.3961653946
136	0.3957150464
