iter	Passed	Remaining
255	1610	4680
256	1616	4674
257	1623	4669
258	1629	4661
259	1636	4656
260	1641	4646
261	1647	4641
262	1654	4636
263	1661	4631
264	1668	4627
265	1675	4622
266	1681	4616
267	1686	4605
268	1692	4599
269	1698	4592
270	1703	4583
271	1710	4577
272	1716	4569
273	1721	4561
274	1727	4554
275	1733	4546
276	1739	4540
277	1746	4534
278	1750	4524
279	1753	4508
280	1758	4499
281	1760	4482
282	1763	4467
283	1765	4452
284	1771	4443
285	1777	4436
286	1783	4429
287	1790	4426
288	1796	4419
289	1803	4414
290	1806	4402
291	1812	4395
292	1815	4380
293	1821	4372
294	1827	4368
295	1834	4362
296	1838	4351
297	1844	4345
298	1850	4339
299	1856	4332
300	1863	4327
301	1864	4309
302	1867	4295
303	1873	4288
304	1879	4282
305	1881	4268
306	1886	4259
307	1892	4251
308	1895	4238
309	1902	4233
310	1908	4227
311	1913	4220
312	1920	4216
313	1926	4209
314	1933	4204
315	1936	4191
316	1940	4180
317	1942	4165
318	1949	4161
319	1952	4148
320	1958	4142
321	1964	4136
322	1969	4128
323	1976	4123
324	1979	4110
325	1985	4105
326	1988	4092
327	1993	4084
328	2000	4080
329	2005	4071
330	2010	4064
331	2017	4058
332	2020	4046
333	2022	4032
334	2028	4025
335	2033	4018
336	2037	4008
337	2040	3997
338	2046	3989
339	2051	3982
340	2058	3977
341	2064	3972
342	2071	3967
343	2085	3977
344	2099	3985
345	2108	3985
346	2112	3974
347	2120	3972
348	2126	3967
349	2130	3956
350	2137	3951
351	2144	3947
352	2151	3942
353	2157	3936
354	2164	3932
355	2171	3927
356	2174	3916
357	2179	3909
358	2187	3904
359	2194	3902
360	2201	3896
361	2208	3891
362	2214	3885
363	2218	3875
364	2221	3864
365	2225	3854
366	2227	3842
367	2233	3836
368	2239	3830
369	2246	3825
370	2253	3820
371	2259	3814
372	2264	3806
373	2270	3800
374	2275	3792
375	2282	3788
376	2290	3785
377	2298	3781
378	2304	3775
379	2310	3769
380	2315	3762
381	2323	3758
382	2330	3754
383	2337	3749
384	2339	3737
385	2345	3730
386	2348	3719
387	2354	3713
388	2360	3708
389	2366	3701
390	2369	3690
391	2375	3684
392	2382	3679
393	2388	3673
394	2395	3669
395	2401	3662
396	2408	3657
397	2413	3650
398	2416	3640
399	2422	3633
400	2429	3628
401	2435	3623
402	2439	3614
403	2443	3604
404	2450	3600
405	2452	3588
406	2459	3583
407	2467	3580
408	2473	3574
409	2480	3570
410	2487	3564
411	2493	3558
412	2498	3551
413	2505	3545
414	2508	3536
415	2516	3532
416	2523	3527
417	2528	3520
418	2534	3514
419	2543	3512
420	2550	3508
421	2557	3502
422	2564	3497
423	2571	3492
424	2578	3488
425	2583	3481
426	2590	3476
427	2596	3470
428	2604	3466
429	2611	3461
430	2617	3456
431	2623	3449
432	2629	3443
433	2635	3436
434	2642	3431
435	2648	3426
436	2653	3419
437	2656	3408
438	2661	3401
439	2667	3394
440	2674	3389
441	2680	3384
442	2687	3378
443	2692	3371
444	2699	3366
445	2705	3360
446	2712	3355
447	2719	3350
448	2726	3345
449	2731	3338
450	2737	3332
451	2744	3327
452	2747	3317
453	2752	3310
454	2758	3304
455	2763	3297
456	2770	3291
457	2776	3285
458	2782	3279
459	2785	3270
460	2790	3262
461	2796	3257
462	2798	3246
463	2805	3241
464	2812	3235
465	2818	3229
466	2824	3224
467	2830	3218
468	2837	3212
469	2844	3207
470	2850	3201
471	2856	3195
472	2862	3189
473	2868	3183
474	2875	3177
475	2882	3172
476	2889	3167
477	2895	3162
478	2902	3157
479	2909	3151
480	2915	3145
481	2922	3140
482	2928	3134
483	2935	3129
484	2942	3124
485	2950	3119
486	2956	3114
487	2962	3108
488	2969	3103
489	2976	3098
490	2982	3092
491	2988	3086
492	2996	3081
493	3002	3075
494	3008	3069
495	3015	3063
496	3021	3058
497	3029	3053
498	3035	3047
499	3042	3042
500	3048	3036
501	3054	3030
502	3061	3024
503	3068	3020
504	3075	3014
505	3082	3009
506	3089	3004
507	3097	2999
508	3103	2993
509	3109	2988
510	3115	2981
511	3122	2975
512	3129	2970
513	3135	2964
514	3141	2958
515	3148	2952
516	3154	2947
517	3161	2941
518	3168	2936
519	3175	2930
520	3180	2924
521	3187	2918
522	3195	2914
523	3202	2909
524	3209	2903
525	3215	2898
526	3223	2893
527	3230	2888
528	3237	2882
529	3244	2877
530	3250	2871
531	3257	2865
532	3263	2859
533	3269	2852
534	3275	2847
535	3282	2841
536	3289	2836
537	3296	2831
538	3303	2825
539	3310	2819
540	3317	2814
541	3323	2808
542	3330	2802
543	3336	2796
544	3342	2790
545	3349	2785
546	3355	2779
547	3361	2772
548	3368	2767
549	3375	2761
550	3381	2755
551	3388	2750
552	3395	2744
553	3402	2739
554	3408	2732
555	3415	2727
556	3422	2722
557	3429	2716
558	3436	2710
559	3442	2705
560	3449	2699
561	3456	2693
562	3462	2687
563	3469	2682
564	3476	2676
565	3483	2670
566	3489	2665
567	3496	2658
568	3503	2653
569	3510	2648
570	3518	2643
571	3525	2637
572	3532	2632
573	3538	2625
574	3545	2620
575	3553	2615
576	3560	2609
577	3566	2604
578	3573	2598
579	3579	2592
580	3586	2586
581	3592	2580
582	3597	2573
583	3604	2567
584	3611	2561
585	3617	2555
586	3624	2549
587	3629	2543
588	3635	2537
589	3641	2530
590	3648	2524
591	3654	2518
592	3660	2512
593	3666	2506
594	3673	2500
595	3679	2494
596	3686	2488
597	3692	2482
598	3700	2476
599	3705	2470
600	3711	2463
601	3718	2458
602	3725	2452
603	3732	2447
604	3739	2441
605	3746	2436
606	3754	2431
607	3762	2425
608	3769	2420
609	3776	2414
610	3783	2408
611	3790	2403
612	3796	2396
613	3803	2391
614	3810	2385
615	3816	2379
616	3823	2373
617	3830	2367
618	3837	2362
619	3845	2356
620	3852	2351
621	3859	2345
622	3865	2339
623	3873	2334
624	3880	2328
625	3887	2322
626	3894	2316
627	3901	2311
628	3909	2305
629	3915	2299
630	3921	2293
631	3927	2287
632	3934	2281
633	3942	2275
634	3949	2270
635	3955	2263
636	3962	2257
637	3969	2252
638	3975	2246
639	3983	2240
640	3990	2234
641	3997	2229
642	4004	2223
643	4011	2217
644	4018	2211
645	4025	2206
646	4033	2200
647	4040	2194
648	4047	2189
649	4055	2183
650	4062	2178
651	4069	2172
652	4076	2166
653	4084	2160
654	4093	2155
655	4102	2151
656	4110	2145
657	4117	2140
658	4124	2134
659	4132	2129
660	4140	2123
661	4147	2117
662	4153	2111
663	4161	2105
664	4168	2100
665	4175	2094
666	4183	2088
667	4191	2083
668	4199	2077
669	4206	2071
670	4212	2065
671	4218	2059
672	4224	2052
673	4231	2046
674	4237	2040
675	4243	2033
676	4249	2027
677	4256	2021
678	4263	2015
679	4270	2009
680	4277	2003
681	4284	1997
682	4291	1992
683	4299	1986
684	4306	1980
685	4312	1974
686	4320	1968
687	4326	1961
688	4333	1956
689	4339	1949
690	4345	1943
691	4352	1937
692	4358	1930
693	4365	1925
694	4373	1919
695	4379	1912
696	4384	1906
697	4392	1900
698	4398	1894
699	4404	1887
700	4410	1881
701	4417	1875
702	4424	1869
703	4430	1863
704	4436	1856
705	4443	1850
706	4450	1844
707	4456	1838
708	4463	1831
709	4469	1825
710	4476	1819
711	4482	1813
712	4490	1807
713	4497	1801
714	4503	1794
715	4510	1788
716	4517	1782
717	4524	1777
718	4531	1771
719	4537	1764
720	4543	1758
721	4550	1752
722	4556	1745
723	4563	1739
724	4569	1733
725	4575	1726
726	4582	1720
727	4587	1714
728	4595	1708
729	4601	1701
730	4606	1695
731	4613	1689
732	4620	1682
733	4627	1676
734	4634	1670
735	4641	1664
736	4648	1658
737	4655	1652
738	4662	1646
739	4669	1640
740	4677	1634
741	4684	1628
742	4690	1622
743	4697	1616
744	4704	1610
745	4712	1604
746	4719	1598
747	4726	1592
748	4733	1586
749	4740	1580
750	4747	1574
751	4754	1567
752	4761	1562
753	4768	1555
754	4775	1549
755	4781	1543
756	4788	1537
757	4794	1530
758	4801	1524
759	4808	1518
760	4814	1511
761	4819	1505
762	4826	1499
763	4832	1492
764	4839	1486
765	4845	1480
766	4851	1473
767	4858	1467
768	4863	1461
769	4871	1455
770	4878	1448
771	4884	1442
772	4890	1436
773	4895	1429
774	4902	1423
775	4909	1417
776	4916	1411
777	4923	1404
778	4929	1398
779	4937	1392
780	4943	1386
781	4950	1379
782	4956	1373
783	4963	1367
784	4970	1361
785	4976	1355
786	4983	1348
787	4990	1342
788	4996	1336
789	5002	1329
790	5009	1323
791	5015	1317
792	5021	1310
793	5028	1304
794	5035	1298
795	5040	1291
796	5047	1285
797	5055	1279
798	5063	1273
799	5071	1267
800	5078	1261
801	5085	1255
802	5092	1249
803	5098	1243
804	5106	1236
805	5112	1230
806	5118	1224
807	5126	1218
808	5133	1211
809	5140	1205
810	5147	1199
811	5154	1193
812	5161	1187
813	5167	1180
814	5173	1174
815	5180	1168
816	5186	1161
817	5192	1155
818	5198	1148
819	5204	1142
820	5210	1136
821	5217	1129
822	5225	1123
823	5232	1117
824	5238	1111
825	5244	1104
826	5251	1098
827	5259	1092
828	5264	1086
829	5271	1079
830	5276	1073
831	5283	1066
832	5291	1060
833	5299	1054
834	5307	1048
835	5314	1042
836	5321	1036
837	5328	1030
838	5335	1023
839	5341	1017
840	5348	1011
841	5355	1004
842	5362	998
843	5368	992
844	5375	986
845	5381	979
846	5388	973
847	5395	967
848	5401	960
849	5408	954
850	5415	948
851	5422	941
852	5428	935
853	5434	929
854	5441	922
855	5447	916
856	5454	910
857	5461	903
858	5468	897
859	5476	891
860	5483	885
861	5490	879
862	5497	872
863	5504	866
864	5509	859
865	5517	853
866	5524	847
867	5531	841
868	5538	834
869	5544	828
870	5552	822
871	5558	815
872	5565	809
873	5572	803
874	5579	797
875	5585	790
876	5591	784
877	5598	777
878	5605	771
879	5612	765
880	5619	759
881	5625	752
882	5631	746
883	5638	739
884	5645	733
885	5651	727
886	5658	720
887	5665	714
888	5671	708
889	5678	701
890	5685	695
891	5692	689
892	5699	682
893	5706	676
894	5713	670
895	5720	663
896	5726	657
897	5733	651
898	5741	645
899	5748	638
900	5754	632
901	5761	625
902	5768	619
903	5775	613
904	5781	606
905	5788	600
906	5794	594
907	5801	587
908	5809	581
909	5816	575
910	5823	568
911	5830	562
912	5836	556
913	5842	549
914	5848	543
915	5855	536
916	5861	530
917	5868	524
918	5876	517
919	5882	511
920	5889	505
921	5894	498
922	5901	492
923	5908	486
924	5915	479
925	5922	473
926	5929	466
927	5936	460
928	5943	454
929	5949	447
930	5955	441
931	5963	435
932	5970	428
933	5977	422
934	5984	416
935	5990	409
936	5996	403
937	6004	396
938	6011	390
939	6018	384
940	6024	377
941	6031	371
942	6038	364
943	6044	358
944	6050	352
945	6057	345
946	6064	339
947	6072	333
948	6079	326
949	6085	320
950	6094	313
951	6101	307
952	6108	301
953	6115	294
954	6121	288
955	6128	282
956	6135	275
957	6141	269
958	6149	262
959	6154	256
960	6161	250
961	6168	243
962	6175	237
963	6182	230
964	6188	224
965	6196	218
966	6202	211
967	6209	205
968	6217	198
969	6224	192
970	6231	186
971	6237	179
972	6244	173
973	6249	166
974	6256	160
975	6264	154
976	6270	147
977	6277	141
978	6283	134
979	6290	128
980	6296	121
981	6303	115
982	6310	109
983	6316	102
984	6323	96
985	6330	89
986	6336	83
987	6343	77
988	6350	70
989	6356	64
990	6362	57
991	6368	51
992	6374	44
993	6381	38
994	6389	32
995	6396	25
996	6402	19
997	6410	12
998	6416	6
999	6424	0
